frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
194,-1,-1.0 -1.0 -1.0 -1.0,2528.7451343536377 2078.4897804260254 2749.5243644714355 2160.0,0,0,0
195,-1,-1.0 -1.0 -1.0 -1.0,2528.5834045410156 2078.2981567382812 2749.4872436523438 2160.0,0,0,0
196,-1,-1.0 -1.0 -1.0 -1.0,2528.4216747283936 2078.106533050537 2749.450122833252 2160.0,0,0,0
197,-1,-1.0 -1.0 -1.0 -1.0,2528.2599449157715 2077.914909362793 2749.41300201416 2160.0,0,0,0
198,-1,-1.0 -1.0 -1.0 -1.0,2528.0982151031494 2077.723285675049 2749.3758811950684 2160.0,0,0,0
199,-1,-1.0 -1.0 -1.0 -1.0,2527.9364852905273 2077.5316619873047 2749.3387603759766 2160.0,0,0,0
200,-1,-1.0 -1.0 -1.0 -1.0,2527.7747554779053 2077.3400382995605 2749.3016395568848 2160.0,0,0,0
201,-1,-1.0 -1.0 -1.0 -1.0,2527.613025665283 2077.1484146118164 2749.264518737793 2160.0,0,0,0
202,-1,-1.0 -1.0 -1.0 -1.0,2527.451295852661 2076.9567909240723 2749.227397918701 2160.0,0,0,0
203,-1,-1.0 -1.0 -1.0 -1.0,2527.289566040039 2076.765167236328 2749.1902770996094 2160.0,0,0,0
204,-1,-1.0 -1.0 -1.0 -1.0,2527.127836227417 2076.573543548584 2749.1531562805176 2160.0,0,0,0
205,-1,-1.0 -1.0 -1.0 -1.0,2526.966106414795 2076.38191986084 2749.116035461426 2160.0,0,0,0
206,-1,-1.0 -1.0 -1.0 -1.0,2526.804376602173 2076.1902961730957 2749.078914642334 2160.0,0,0,0
207,-1,-1.0 -1.0 -1.0 -1.0,2526.642646789551 2075.9986724853516 2749.041793823242 2160.0,0,0,0
208,-1,-1.0 -1.0 -1.0 -1.0,2526.4809169769287 2075.8070487976074 2749.0046730041504 2160.0,0,0,0
209,-1,-1.0 -1.0 -1.0 -1.0,2526.3191871643066 2075.6154251098633 2748.9675521850586 2160.0,0,0,0
210,-1,-1.0 -1.0 -1.0 -1.0,2526.1574573516846 2075.423801422119 2748.930431365967 2160.0,0,0,0
211,-1,-1.0 -1.0 -1.0 -1.0,2525.9957275390625 2075.232177734375 2748.893310546875 2160.0,0,0,0
212,-1,-1.0 -1.0 -1.0 -1.0,2525.8339977264404 2075.040554046631 2748.856189727783 2160.0,0,0,0
213,-1,-1.0 -1.0 -1.0 -1.0,2525.6722679138184 2074.8489303588867 2748.8190689086914 2160.0,0,0,0
214,-1,-1.0 -1.0 -1.0 -1.0,2525.5105381011963 2074.6573066711426 2748.7819480895996 2160.0,0,0,0
215,-1,-1.0 -1.0 -1.0 -1.0,2525.348808288574 2074.4656829833984 2748.744827270508 2160.0,0,0,0
216,-1,-1.0 -1.0 -1.0 -1.0,2525.187078475952 2074.2740592956543 2748.707706451416 2160.0,0,0,0
217,-1,-1.0 -1.0 -1.0 -1.0,2525.02534866333 2074.08243560791 2748.670585632324 2160.0,0,0,0
218,-1,-1.0 -1.0 -1.0 -1.0,2524.863618850708 2073.890811920166 2748.6334648132324 2160.0,0,0,0
219,-1,-1.0 -1.0 -1.0 -1.0,2524.701889038086 2073.699188232422 2748.5963439941406 2160.0,0,0,0
220,-1,-1.0 -1.0 -1.0 -1.0,2524.540159225464 2073.5075645446777 2748.559223175049 2160.0,0,0,0
221,-1,-1.0 -1.0 -1.0 -1.0,2524.378429412842 2073.3159408569336 2748.522102355957 2160.0,0,0,0
222,-1,-1.0 -1.0 -1.0 -1.0,2524.2166996002197 2073.1243171691895 2748.4849815368652 2160.0,0,0,0
223,-1,-1.0 -1.0 -1.0 -1.0,2524.0549697875977 2072.9326934814453 2748.4478607177734 2160.0,0,0,0
224,-1,-1.0 -1.0 -1.0 -1.0,2523.8932399749756 2072.741069793701 2748.4107398986816 2160.0,0,0,0
225,-1,-1.0 -1.0 -1.0 -1.0,2523.7315101623535 2072.549446105957 2748.37361907959 2160.0,0,0,0
226,-1,-1.0 -1.0 -1.0 -1.0,2523.5697803497314 2072.357822418213 2748.336498260498 2160.0,0,0,0
227,-1,-1.0 -1.0 -1.0 -1.0,2523.4080505371094 2072.1661987304688 2748.2993774414062 2160.0,0,0,0
228,-1,-1.0 -1.0 -1.0 -1.0,2523.2463207244873 2071.9745750427246 2748.2622566223145 2160.0,0,0,0
229,-1,-1.0 -1.0 -1.0 -1.0,2523.0845909118652 2071.7829513549805 2748.2251358032227 2160.0,0,0,0
230,-1,-1.0 -1.0 -1.0 -1.0,2522.922861099243 2071.5913276672363 2748.188014984131 2160.0,0,0,0
231,-1,-1.0 -1.0 -1.0 -1.0,2522.761131286621 2071.399703979492 2748.150894165039 2160.0,0,0,0
232,-1,-1.0 -1.0 -1.0 -1.0,2522.599401473999 2071.208080291748 2748.1137733459473 2160.0,0,0,0
233,-1,-1.0 -1.0 -1.0 -1.0,2522.437671661377 2071.016456604004 2748.0766525268555 2160.0,0,0,0
234,-1,-1.0 -1.0 -1.0 -1.0,2522.275941848755 2070.8248329162598 2748.0395317077637 2160.0,0,0,0
235,-1,-1.0 -1.0 -1.0 -1.0,2522.114212036133 2070.6332092285156 2748.002410888672 2160.0,0,0,0
236,-1,-1.0 -1.0 -1.0 -1.0,2521.9524822235107 2070.4415855407715 2747.96529006958 2160.0,0,0,0
237,-1,-1.0 -1.0 -1.0 -1.0,2521.7907524108887 2070.2499618530273 2747.9281692504883 2160.0,0,0,0
238,-1,-1.0 -1.0 -1.0 -1.0,2521.6290225982666 2070.058338165283 2747.8910484313965 2160.0,0,0,0
239,-1,-1.0 -1.0 -1.0 -1.0,2521.4672927856445 2069.866714477539 2747.8539276123047 2160.0,0,0,0
240,-1,-1.0 -1.0 -1.0 -1.0,2521.3055629730225 2069.675090789795 2747.816806793213 2160.0,0,0,0
241,-1,-1.0 -1.0 -1.0 -1.0,2521.1438331604004 2069.483467102051 2747.779685974121 2160.0,0,0,0
242,-1,-1.0 -1.0 -1.0 -1.0,2520.9821033477783 2069.2918434143066 2747.7425651550293 2160.0,0,0,0
243,-1,-1.0 -1.0 -1.0 -1.0,2520.8203735351562 2069.1002197265625 2747.7054443359375 2160.0,0,0,0
244,-1,-1.0 -1.0 -1.0 -1.0,2520.658643722534 2068.9085960388184 2747.6683235168457 2160.0,0,0,0
245,-1,-1.0 -1.0 -1.0 -1.0,2520.496913909912 2068.716972351074 2747.631202697754 2160.0,0,0,0
246,-1,-1.0 -1.0 -1.0 -1.0,2520.33518409729 2068.52534866333 2747.594081878662 2160.0,0,0,0
247,-1,-1.0 -1.0 -1.0 -1.0,2520.173454284668 2068.333724975586 2747.5569610595703 2160.0,0,0,0
248,-1,-1.0 -1.0 -1.0 -1.0,2520.011724472046 2068.142101287842 2747.5198402404785 2160.0,0,0,0
249,-1,-1.0 -1.0 -1.0 -1.0,2519.849994659424 2067.9504776000977 2747.4827194213867 2160.0,0,0,0
250,-1,-1.0 -1.0 -1.0 -1.0,2519.6882648468018 2067.7588539123535 2747.445598602295 2160.0,0,0,0
251,-1,-1.0 -1.0 -1.0 -1.0,2519.5265350341797 2067.5672302246094 2747.408477783203 2160.0,0,0,0
252,-1,-1.0 -1.0 -1.0 -1.0,2519.3648052215576 2067.3756065368652 2747.3713569641113 2160.0,0,0,0
253,-1,-1.0 -1.0 -1.0 -1.0,2519.2030754089355 2067.183982849121 2747.3342361450195 2160.0,0,0,0
254,-1,-1.0 -1.0 -1.0 -1.0,2519.0413455963135 2066.992359161377 2747.2971153259277 2160.0,0,0,0
255,-1,-1.0 -1.0 -1.0 -1.0,2518.8796157836914 2066.800735473633 2747.259994506836 2160.0,0,0,0
256,-1,-1.0 -1.0 -1.0 -1.0,2518.7178859710693 2066.6091117858887 2747.222873687744 2160.0,0,0,0
257,-1,-1.0 -1.0 -1.0 -1.0,2518.5561561584473 2066.4174880981445 2747.1857528686523 2160.0,0,0,0
258,-1,-1.0 -1.0 -1.0 -1.0,2518.394426345825 2066.2258644104004 2747.1486320495605 2160.0,0,0,0
259,-1,-1.0 -1.0 -1.0 -1.0,2518.232696533203 2066.0342407226562 2747.1115112304688 2160.0,0,0,0
260,-1,-1.0 -1.0 -1.0 -1.0,2518.070966720581 2065.842617034912 2747.074390411377 2160.0,0,0,0
261,-1,-1.0 -1.0 -1.0 -1.0,2517.909236907959 2065.650993347168 2747.037269592285 2160.0,0,0,0
262,-1,-1.0 -1.0 -1.0 -1.0,2517.747507095337 2065.459369659424 2747.0001487731934 2160.0,0,0,0
